date,open,high,low,close,Volume USD
2021-01-01,29007.31,29700.0,28720.0,29402.64,257094695.8410547
2021-01-02,29410.77,33333.0,29050.0,32216.53,560299517.2560054
2021-01-03,32216.51,34800.0,31977.45,33097.83,473926833.4386071
2021-01-04,33068.83,33669.76,27734.0,32005.88,698015280.1821413
2021-01-05,32054.23,34500.0,29936.26,34039.05,478942158.37594247
2021-01-06,34081.24,37050.83,33348.27,36849.94,672425724.1051184
2021-01-07,36875.96,40402.46,36327.5,39510.49,884978655.9417061
2021-01-08,39510.59,42000.0,36618.36,40667.07,887330473.0775433
2021-01-09,40682.76,41422.77,38788.16,40239.06,344456909.8697517
2021-01-10,40239.06,41450.0,34322.07,38173.73,625524121.3626217
2021-01-11,38164.88,38261.39,30261.13,35455.58,1369816447.4493601
2021-01-12,35449.71,36639.23,32479.91,34035.02,635423614.3903077
2021-01-13,34035.02,37800.0,32327.76,37393.49,474862703.56754094
2021-01-14,37393.49,40112.78,36717.23,39134.35,421837831.7298078
2021-01-15,39147.98,39694.0,34380.0,36756.57,496957295.21722984
2021-01-16,36778.66,37944.12,35350.0,36000.0,282940543.18724984
2021-01-17,36013.51,36839.0,33833.55,35819.25,241452264.48911995
2021-01-18,35826.36,37449.86,34777.85,36616.95,225891564.0373672
2021-01-19,36665.82,37874.71,35888.0,35917.62,242920916.77011895
2021-01-20,35888.13,36440.1,33400.0,35496.91,423970782.69524074
2021-01-21,35516.17,35620.96,30044.16,30818.18,685895231.4259194
2021-01-22,30817.86,33864.85,28800.0,32992.06,533832820.8113874
2021-01-23,32989.1,33468.46,31426.11,32117.49,169946822.407479
2021-01-24,32098.38,33075.75,30960.77,32288.83,149504044.22449535
2021-01-25,32289.06,34888.0,31939.12,32261.22,336165521.3971818
2021-01-26,32264.15,32953.28,30847.4,32504.53,369678587.8582562
2021-01-27,32521.65,32580.12,29150.49,30424.62,690256734.9456408
2021-01-28,30427.34,33870.58,29899.99,33484.87,571664080.8793414
2021-01-29,33488.66,38620.0,31990.0,34249.64,1118649445.012337
2021-01-30,34265.71,34931.39,32860.0,34323.0,247477960.5652984
2021-01-31,34300.19,34380.21,32193.7,33141.38,158174835.38330647
2021-02-01,33110.32,34736.1,32333.01,33532.74,282948631.5554478
2021-02-02,33497.16,36008.67,33431.67,35522.16,251916705.6619655
2021-02-03,35496.91,37732.87,35382.45,37691.63,321610362.8803235
2021-02-04,37693.0,38748.52,36197.65,36996.32,440607394.26043415
2021-02-05,36984.28,38359.69,36618.36,38320.0,196637017.9881219
2021-02-06,38320.0,41025.48,38230.81,39282.1,343989662.3727199
2021-02-07,39274.8,39727.44,37412.93,38858.39,230401247.73602653
2021-02-08,38870.36,46712.12,38050.97,46416.45,821079715.0900546
2021-02-09,46445.51,48216.09,45000.0,46505.2,584116643.9303312
2021-02-10,46493.9,47364.09,43746.06,44854.63,432092617.8618802
2021-02-11,44854.63,48696.84,44040.96,47981.48,440200009.1544334
2021-02-12,48044.88,49000.0,46231.16,47395.84,283881157.1584591
2021-02-13,47424.25,48220.0,46133.0,47228.48,201339457.01550156
2021-02-14,47258.66,49714.66,47081.02,48662.5,253612803.2716697
2021-02-15,48620.48,49048.82,45914.75,47942.57,328929651.77803475
2021-02-16,47954.05,50602.53,47036.02,49166.53,410412796.68829393
2021-02-17,49136.7,52640.0,48896.19,52174.28,488192036.15496695
2021-02-18,52141.23,52566.98,50869.61,51579.54,328248127.9043128
2021-02-19,51560.46,56399.99,50627.32,55988.58,497376784.0983625
2021-02-20,56000.59,57553.81,54000.0,55936.04,292244307.0301752
2021-02-21,55919.75,58354.14,55537.99,57492.91,203667168.1518932
2021-02-22,57485.74,57564.19,47400.0,54173.65,911230234.4113661
2021-02-23,54173.64,54196.58,44845.72,48887.93,859973477.6420665
2021-02-24,48927.33,51459.51,47000.0,49754.0,437517122.95049334
2021-02-25,49715.13,52079.16,46723.0,47088.58,394733642.6821202
2021-02-26,47070.18,48476.62,44151.97,46314.83,377601312.48811024
2021-02-27,46324.15,48365.31,45050.0,46109.98,144218695.61660796
2021-02-28,46142.1,46659.88,43021.0,45240.96,297214078.26042175
2021-03-01,45261.56,49831.52,45020.25,49629.33,408581791.0736499
2021-03-02,49641.89,50250.0,47069.52,48516.35,240330170.45290482
2021-03-03,48438.0,52652.82,48168.45,50379.68,312903791.61631256
2021-03-04,50376.05,51817.54,47500.0,48360.5,277967384.04868037
2021-03-05,48353.09,49471.24,46294.0,48739.21,248698072.38198465
2021-03-06,48774.67,49200.0,47082.29,48904.63,103401954.56568958
2021-03-07,48933.12,51477.53,48933.12,50967.3,142121466.53759143
2021-03-08,50952.55,52427.8,49316.98,52427.8,224769957.10775244
2021-03-09,52427.8,54939.26,51857.0,54929.02,293037909.13753784
2021-03-10,54927.29,57402.89,53010.0,55852.29,384927953.2386823
